median house value,median income,housing median age,total rooms,total bedrooms,population,households,latitude,longitude
453000,8.33,41,880,129,322,126,3.7880000000000003e+001,-1.22E+02
359000,8.3,21,7100,1110,2400,1140,3.7859999999999999e+001,-1.22E+02
352000,7.26,52,1470,190,496,177,3.7850000000000001e+001,-1.22E+02
341000,5.64,52,1270,235,558,219,3.7850000000000001e+001,-1.22E+02
342000,3.85,52,1630,280,565,259,3.7850000000000001e+001,-1.22E+02
270000,4.04,52,919,213,413,193,3.7850000000000001e+001,-1.22E+02
299000,3.66,52,2540,489,1090,514,3.7840000000000003e+001,-1.22E+02
241000,3.12,52,3100,687,1160,647,3.7840000000000003e+001,-1.22E+02
227000,2.08,42,2560,665,1210,595,3.7840000000000003e+001,-1.22E+02
261000,3.69,52,3550,707,1550,714,3.7840000000000003e+001,-1.22E+02
282000,3.2,52,2200,434,910,402,3.7850000000000001e+001,-1.22E+02
242000,3.27,52,3500,752,1500,734,3.7850000000000001e+001,-1.22E+02
214000,3.08,52,2490,474,1100,468,3.7850000000000001e+001,-1.22E+02
191000,2.67,52,696,191,345,174,3.7840000000000003e+001,-1.22E+02
159000,1.92,52,2640,626,1210,620,3.7850000000000001e+001,-1.22E+02
140000,2.13,50,1120,283,697,264,3.7850000000000001e+001,-1.22E+02
153000,2.77,52,1970,347,793,331,3.7850000000000001e+001,-1.22E+02
156000,2.12,52,1230,293,648,303,3.7850000000000001e+001,-1.22E+02
159000,1.99,50,2240,455,990,419,3.7840000000000003e+001,-1.22E+02
163000,2.6,52,1500,298,690,275,3.7840000000000003e+001,-1.22E+02
148000,1.36,40,751,184,409,166,3.7850000000000001e+001,-1.22E+02
160000,1.71,42,1640,367,929,366,3.7850000000000001e+001,-1.22E+02
114000,1.73,52,2440,541,1020,478,3.7840000000000003e+001,-1.22E+02
99700,2.18,52,1690,337,853,325,3.7840000000000003e+001,-1.22E+02
133000,2.6,52,2220,437,1010,422,3.7840000000000003e+001,-1.22E+02
108000,2.4,41,535,123,317,119,3.7850000000000001e+001,-1.22E+02
93800,2.46,49,1130,244,607,239,3.7850000000000001e+001,-1.22E+02
106000,1.81,52,1900,421,1100,397,3.7850000000000001e+001,-1.22E+02
109000,1.64,50,2080,492,1130,473,3.7840000000000003e+001,-1.22E+02
132000,1.69,52,729,160,395,155,3.7840000000000003e+001,-1.22E+02
122000,1.93,49,1920,447,863,378,3.7840000000000003e+001,-1.22E+02
115000,1.96,52,2150,481,1170,441,3.7840000000000003e+001,-1.22E+02
110000,1.8,48,1920,409,1030,335,3.7840000000000003e+001,-1.22E+02
105000,1.38,49,1660,366,754,329,3.7829999999999998e+001,-1.22E+02
110000,2.73,51,2670,574,1260,536,3.7829999999999998e+001,-1.22E+02
97200,1.49,49,1220,282,570,264,3.7829999999999998e+001,-1.22E+02
105000,1.1,48,1800,432,987,374,3.7829999999999998e+001,-1.22E+02
104000,1.41,52,1510,390,901,403,3.7829999999999998e+001,-1.22E+02
191000,3.48,52,1470,330,689,309,3.7829999999999998e+001,-1.22E+02
176000,2.59,52,2430,715,1380,696,3.7829999999999998e+001,-1.22E+02
155000,2.1,52,1670,419,946,395,3.7829999999999998e+001,-1.22E+02
150000,1.29,51,936,311,517,249,3.7829999999999998e+001,-1.22E+02
119000,1.02,49,713,202,462,189,3.7840000000000003e+001,-1.22E+02
189000,3.96,52,950,202,467,198,3.7840000000000003e+001,-1.22E+02
184000,3.01,52,1440,311,660,292,3.7829999999999998e+001,-1.22E+02
182000,2.68,52,1660,420,718,382,3.7829999999999998e+001,-1.22E+02
143000,2.03,50,1130,322,616,304,3.7829999999999998e+001,-1.22E+02
138000,1.73,43,1010,312,558,253,3.7820000000000000e+001,-1.22E+02
188000,0.951,40,624,195,423,160,3.7820000000000000e+001,-1.22E+02
113000,1.77,40,946,375,700,352,3.7820000000000000e+001,-1.22E+02
172000,0.922,21,896,453,735,438,3.7820000000000000e+001,-1.22E+02
93800,1.5,43,1870,456,1060,407,3.7820000000000000e+001,-1.22E+02
97500,1.11,41,3220,853,1960,720,3.7820000000000000e+001,-1.22E+02
104000,1.25,52,1630,456,1160,400,3.7820000000000000e+001,-1.22E+02
87500,1.61,52,1170,235,701,233,3.7820000000000000e+001,-1.22E+02
83100,1.41,52,945,243,576,220,3.7820000000000000e+001,-1.22E+02
87500,1.51,52,1240,288,622,259,3.7820000000000000e+001,-1.22E+02
85300,0.817,52,1490,335,728,244,3.7820000000000000e+001,-1.22E+02
80300,1.22,52,1390,341,1070,304,3.7820000000000000e+001,-1.22E+02
60000,2.56,2,158,43,94,57,3.7820000000000000e+001,-1.22E+02
75700,3.39,52,1120,211,554,187,3.7829999999999998e+001,-1.22E+02
75000,6.12,49,135,29,86,23,3.7820000000000000e+001,-1.22E+02
86100,0.901,50,760,190,377,122,3.7810000000000002e+001,-1.22E+02
76100,1.19,52,1220,237,521,159,3.7810000000000002e+001,-1.22E+02
73500,2.59,48,828,182,392,133,3.7810000000000002e+001,-1.22E+02
78400,1.17,52,1010,209,604,187,3.7810000000000002e+001,-1.22E+02
84400,0.806,48,1460,354,788,332,3.7810000000000002e+001,-1.22E+02
81300,2.61,52,1030,244,492,147,3.7799999999999997e+001,-1.22E+02
85000,1.85,52,572,109,274,82,3.7810000000000002e+001,-1.22E+02
129000,0.98,46,2800,644,1820,611,3.7810000000000002e+001,-1.22E+02
82500,1.77,26,768,152,392,127,3.7810000000000002e+001,-1.22E+02
95200,0.729,46,935,297,582,277,3.7810000000000002e+001,-1.22E+02
75000,1.75,49,844,204,560,152,3.7810000000000002e+001,-1.22E+02
67500,0.5,46,12,4,18,7,3.7810000000000002e+001,-1.22E+02
138000,2.48,20,835,161,290,133,3.7810000000000002e+001,-1.22E+02
178000,0.924,17,1240,462,762,439,3.7810000000000002e+001,-1.22E+02
102000,2.45,36,2910,562,1240,509,3.7810000000000002e+001,-1.22E+02
108000,1.11,19,1210,243,721,207,3.7810000000000002e+001,-1.22E+02
113000,0.803,23,1750,374,1050,325,3.7810000000000002e+001,-1.22E+02
131000,2.01,38,684,176,344,155,3.7799999999999997e+001,-1.22E+02
163000,1.5,17,924,289,609,289,3.7810000000000002e+001,-1.22E+02
113000,1.17,52,210,56,183,56,3.7810000000000002e+001,-1.22E+02
113000,1.52,52,340,97,200,87,3.7810000000000002e+001,-1.22E+02
138000,0.808,52,386,164,346,155,3.7810000000000002e+001,-1.22E+02
119000,1.81,35,948,184,467,169,3.7810000000000002e+001,-1.22E+02
98200,2.41,52,773,143,377,115,3.7810000000000002e+001,-1.22E+02
119000,0.977,40,880,451,582,380,3.7810000000000002e+001,-1.22E+02
163000,0.76,10,875,348,546,330,3.7810000000000002e+001,-1.22E+02
138000,0.972,10,105,42,125,39,3.7799999999999997e+001,-1.22E+02
500000,1.24,52,249,78,396,85,3.7799999999999997e+001,-1.22E+02
163000,2.09,16,994,392,800,362,3.7799999999999997e+001,-1.22E+02
138000,0.867,52,215,87,904,88,3.7799999999999997e+001,-1.22E+02
163000,0.75,52,96,31,191,34,3.7799999999999997e+001,-1.22E+02
188000,2.64,27,1060,347,718,302,3.7789999999999999e+001,-1.22E+02
179000,1.85,39,1720,623,1330,467,3.7799999999999997e+001,-1.22E+02
130000,2.01,36,5330,2480,3470,2320,3.7799999999999997e+001,-1.22E+02
184000,2.83,31,4600,1330,2050,1180,3.7820000000000000e+001,-1.22E+02
125000,2.01,29,335,107,202,91,3.7810000000000002e+001,-1.22E+02
170000,1.22,22,3680,1270,2020,1250,3.7820000000000000e+001,-1.22E+02
193000,2.61,37,3630,1090,1840,980,3.7820000000000000e+001,-1.22E+02
258000,2.49,29,4660,1410,2300,1250,3.7810000000000002e+001,-1.22E+02
273000,3.22,28,5810,1600,2560,1500,3.7810000000000002e+001,-1.22E+02
238000,3.13,39,854,242,389,228,3.7810000000000002e+001,-1.22E+02
350000,2.58,52,2160,701,895,613,3.7810000000000002e+001,-1.22E+02
336000,2.84,34,5870,1910,2690,1790,3.7810000000000002e+001,-1.22E+02
313000,4.93,52,1510,225,674,244,3.7820000000000000e+001,-1.22E+02
269000,3.27,52,2030,482,709,456,3.7810000000000002e+001,-1.22E+02
259000,3.17,52,1760,460,686,422,3.7810000000000002e+001,-1.22E+02
